星系名称,总重子质量(M⊙),η((km/s)²),r0(kpc),r1(kpc),alpha,beta,拟合优度R²,是否有效拟合
UGC04278,4.12e+09,1.58e+05,100.000,10000.0,1.2,0.2,0.953,否
UGC04305,1.88e+09,1.00e+02,100.000,0.1,1.2,0.2,0.668,否
UGC04325,3.80e+09,9.72e+03,1.134,1.1,1.2,0.2,0.883,是
UGC04483,5.76e+07,9.59e+02,1.330,9992.4,1.2,0.2,0.951,否
UGC04499,4.07e+09,1.01e+04,9.397,9.4,1.2,0.2,0.919,是
UGC05005,1.46e+10,3.06e+04,46.711,46.7,1.2,0.2,0.963,是
UGC05253,2.09e+11,1.05e+05,100.000,10000.0,1.2,0.2,-14.175,否
UGC05414,1.65e+09,9.45e+04,100.000,10000.0,1.2,0.2,0.969,否
UGC05716,2.84e+09,8.65e+03,4.873,4.9,1.2,0.2,0.975,是
UGC05721,1.49e+09,9.30e+03,0.728,0.7,1.2,0.2,0.700,否
UGC05750,1.10e+10,1.02e+04,15.407,15.4,1.2,0.2,0.933,是
UGC05764,4.29e+08,4.03e+03,0.338,0.3,1.2,0.2,0.408,否
UGC05829,2.58e+09,4.86e+04,62.949,10000.0,1.2,0.2,0.993,否
UGC05918,5.52e+08,3.33e+03,3.351,3.4,1.2,0.2,0.985,是
UGC05986,6.85e+09,1.74e+04,3.559,3.6,1.2,0.2,0.833,是
UGC05999,1.25e+10,1.53e+04,10.341,10.3,1.2,0.2,0.781,是
UGC06399,4.23e+09,1.59e+04,9.631,9.6,1.2,0.2,0.961,是
UGC06446,3.71e+09,9.61e+03,2.509,2.5,1.2,0.2,0.946,是
UGC06614,1.83e+11,9.34e+04,100.000,10000.0,1.2,0.2,-3.258,否
UGC06628,5.67e+09,1.00e+02,100.000,0.1,1.2,0.2,-1.433,否
UGC06667,2.14e+09,1.33e+04,4.385,4.4,1.2,0.2,0.920,是
UGC06786,8.33e+10,1.22e+05,43.356,43.3,1.2,0.2,0.198,否
UGC06787,1.13e+11,2.67e+05,100.000,10000.0,1.2,0.2,-2.974,否
UGC06818,2.67e+09,9.32e+04,100.000,10000.0,1.2,0.2,0.694,否
UGC06917,1.21e+10,1.41e+04,7.732,10000.0,1.2,0.2,0.922,否
UGC06923,4.37e+09,1.53e+04,14.012,14.0,1.2,0.2,0.689,否
UGC06930,1.65e+10,3.69e+04,18.029,0.4,1.2,0.2,0.932,是
UGC06973,5.84e+10,1.00e+02,100.000,0.1,1.2,0.2,-597.100,否
UGC06983,1.17e+10,1.56e+04,4.397,4.4,1.2,0.2,0.782,是
UGC07089,5.89e+09,5.93e+04,100.000,10000.0,1.2,0.2,0.949,否
UGC07125,8.13e+09,4.21e+03,8.412,8.4,1.2,0.2,0.895,是
UGC07151,3.95e+09,6.70e+03,4.903,4.9,1.2,0.2,0.959,是
UGC07261,3.29e+09,1.56e+04,13.594,13.6,1.2,0.2,0.835,是
UGC07323,6.13e+09,8.05e+04,100.000,10000.0,1.2,0.2,0.965,否
UGC07399,2.30e+09,1.57e+04,3.250,10000.0,1.2,0.2,0.977,否
UGC07524,6.62e+09,8.05e+03,4.467,4.5,1.2,0.2,0.938,是
UGC07559,3.00e+08,4.81e+04,100.000,10000.0,1.2,0.2,0.931,否
UGC07577,8.80e+07,1.00e+02,100.000,0.1,1.2,0.2,0.847,否
UGC07603,6.98e+08,7.59e+03,2.987,3.0,1.2,0.2,0.881,是
UGC07608,9.40e+08,2.23e+04,14.187,14.2,1.2,0.2,0.955,是
UGC07690,1.41e+09,3.97e+03,3.048,3.0,1.2,0.2,0.765,是
UGC07866,2.55e+08,5.58e+04,100.000,10000.0,1.2,0.2,0.990,否
UGC08286,2.70e+09,1.17e+04,4.221,4.2,1.2,0.2,0.958,是
UGC08490,2.24e+09,9.17e+03,1.965,2.0,1.2,0.2,0.949,是
UGC08550,9.07e+08,6.03e+03,3.582,3.6,1.2,0.2,0.979,是
UGC08699,6.04e+10,1.59e+05,100.000,10000.0,1.2,0.2,-5.509,否
UGC08837,1.16e+09,4.34e+04,100.000,10000.0,1.2,0.2,0.879,否
UGC09037,9.75e+10,3.99e+04,100.000,10000.0,1.2,0.2,-0.507,否
UGC09133,3.53e+11,1.03e+05,99.996,100.0,1.2,0.2,-1.485,否
UGC09992,7.18e+08,9.32e+02,0.858,0.1,1.2,0.2,0.858,否
UGC10310,3.98e+09,5.45e+03,1.893,1.9,1.2,0.2,0.881,是
UGC11455,4.35e+11,2.56e+04,100.000,10000.0,1.2,0.2,0.660,否
UGC11557,1.81e+10,1.00e+02,100.000,0.1,1.2,0.2,0.369,否
UGC11820,5.67e+09,2.95e+04,13.218,0.1,1.2,0.2,0.982,否
UGC11914,1.52e+11,1.00e+02,100.000,0.1,1.2,0.2,0.343,否
UGC12506,2.37e+11,1.32e+05,6.025,0.1,1.2,0.2,0.927,否
UGC12632,4.22e+09,7.04e+03,3.885,3.9,1.2,0.2,0.956,是
UGC12732,8.60e+09,1.22e+04,9.698,10000.0,1.2,0.2,0.990,否
UGCA281,9.48e+07,4.57e+03,5.419,5.4,1.2,0.2,0.994,是
UGCA442,5.79e+08,7.62e+03,6.057,6.1,1.2,0.2,0.962,是
UGCA444,1.33e+08,9.50e+04,100.000,10000.0,1.2,0.2,0.986,否
