星系名称,总重子质量(M⊙),η((km/s)²),r0(kpc),alpha,r1(kpc),beta,拟合优度R²
UGC02916,1.80e+11,1.17e+05,55.435,2.00,55.4,0.50,-14.012
UGC02953,2.77e+11,3.42e+05,68.286,2.00,68.3,0.50,-1.043
UGC03205,1.34e+11,3.49e+05,72.389,2.00,72.4,0.50,0.797
UGC03546,1.10e+11,3.84e+05,100.000,2.00,10000.0,0.05,-12.744
UGC03580,2.13e+10,1.38e+05,45.422,2.00,45.4,0.50,-1.182
UGC04278,4.12e+09,2.57e+05,33.292,2.00,33.3,0.50,0.987
UGC04305,1.88e+09,1.00e+02,100.000,2.00,0.1,0.50,0.669
UGC04325,3.80e+09,5.74e+03,0.330,1.00,10000.0,0.05,0.704
UGC04483,5.76e+07,1.10e+03,2.183,1.00,10000.0,0.05,0.937
UGC04499,4.07e+09,1.48e+04,4.951,2.00,5.0,0.50,0.953
UGC05005,1.46e+10,3.65e+04,18.245,2.00,18.2,0.50,0.987
UGC05253,2.09e+11,2.13e+05,60.491,2.00,60.5,0.50,-13.019
UGC05414,1.65e+09,1.98e+05,100.000,1.41,10000.0,0.05,0.986
UGC05716,2.84e+09,1.58e+04,3.957,2.00,4.0,0.50,0.964
UGC05721,1.49e+09,8.28e+03,0.268,2.00,0.3,0.12,0.661
UGC05750,1.10e+10,1.63e+04,8.689,2.00,8.7,0.50,0.970
UGC05764,4.29e+08,8.36e+03,0.386,2.00,0.4,0.50,0.433
UGC05829,2.58e+09,7.32e+04,100.000,1.16,10000.0,0.05,0.993
UGC05918,5.52e+08,4.48e+03,1.878,2.00,1.9,0.36,0.988
UGC05986,6.85e+09,3.16e+04,2.804,2.00,2.8,0.50,0.900
UGC05999,1.25e+10,2.58e+04,6.939,2.00,6.9,0.50,0.842
UGC06399,4.23e+09,2.27e+04,4.893,2.00,4.9,0.50,0.988
UGC06446,3.71e+09,1.84e+04,2.420,2.00,2.4,0.50,0.977
UGC06614,1.83e+11,2.20e+05,75.919,2.00,75.9,0.50,-2.302
UGC06628,5.67e+09,1.00e+02,100.000,2.00,0.1,0.50,-1.427
UGC06667,2.14e+09,2.30e+04,3.076,2.00,3.1,0.50,0.975
